<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20190117,000000,155.1600000,155.3800000,154.5900000,154.9000000,255799
US2.AAPL,60,20190117,180000,154.2400000,154.3100000,153.2700000,153.7400000,216968
US2.AAPL,60,20190117,190000,153.7300000,154.1900000,153.4700000,153.8800000,236817
US2.AAPL,60,20190117,200000,153.8900000,154.6200000,153.6100000,154.1500000,153996
US2.AAPL,60,20190117,210000,154.1600000,154.6000000,153.9800000,154.2600000,107906
US2.AAPL,60,20190117,220000,154.2800000,154.8600000,154.2800000,154.6200000,102267
US2.AAPL,60,20190117,230000,154.6200000,157.6500000,154.0600000,155.7700000,469165
US2.AAPL,60,20190118,000000,155.7800000,155.8600000,155.0900000,155.8600000,357833
US2.AAPL,60,20190118,180000,157.5300000,157.6900000,156.2300000,156.5300000,304373
US2.AAPL,60,20190118,190000,156.5400000,157.8700000,156.2200000,157.0100000,288604
US2.AAPL,60,20190118,200000,156.9900000,157.4500000,156.7500000,157.2500000,158272
US2.AAPL,60,20190118,210000,157.3100000,157.6200000,156.8650000,157.4500000,179084
US2.AAPL,60,20190118,220000,157.4600000,157.6100000,156.9800000,157.4300000,131078
US2.AAPL,60,20190118,230000,157.4600000,157.4600000,156.2800000,156.6800000,152330
US2.AAPL,60,20190119,000000,156.7000000,156.8600000,155.9900000,156.8200000,260422
US2.AAPL,60,20190122,180000,156.4100000,156.6900000,155.2300000,155.4200000,156482
US2.AAPL,60,20190122,190000,155.4100000,155.5300000,154.7800000,155.1900000,226787
US2.AAPL,60,20190122,200000,155.1600000,155.6700000,154.4500000,154.5800000,166586
US2.AAPL,60,20190122,210000,154.5500000,155.3300000,154.4600000,154.7600000,134223
US2.AAPL,60,20190122,220000,154.7300000,154.7300000,153.9500000,154.3100000,160814
US2.AAPL,60,20190122,230000,154.3100000,154.3700000,152.9100000,153.1900000,173662
US2.AAPL,60,20190123,000000,153.1900000,154.0000000,152.6800000,153.7000000,274832
US2.AAPL,60,20190123,180000,154.0800000,155.1300000,153.8800000,154.6200000,172666
US2.AAPL,60,20190123,190000,154.6600000,154.9800000,153.3800000,153.6300000,187435
US2.AAPL,60,20190123,200000,153.6700000,153.6800000,152.0500000,152.2500000,209575
US2.AAPL,60,20190123,210000,152.2400000,152.7900000,151.7200000,152.6400000,150148
US2.AAPL,60,20190123,220000,152.6800000,153.2900000,152.1600000,153.2100000,122968
US2.AAPL,60,20190123,230000,153.3100000,153.6100000,152.6700000,153.1200000,147730
US2.AAPL,60,20190124,000000,153.1000000,153.9600000,153.0700000,153.9000000,178550
US2.AAPL,60,20190124,180000,153.8500000,154.4800000,152.9700000,153.0500000,201839
US2.AAPL,60,20190124,190000,153.0400000,153.6400000,152.2800000,152.3000000,289163
US2.AAPL,60,20190124,200000,152.2900000,153.0200000,151.8800000,152.9500000,194537
US2.AAPL,60,20190124,210000,152.9200000,152.9400000,152.1500000,152.2400000,96419
US2.AAPL,60,20190124,220000,152.2300000,152.4000000,151.8200000,152.0200000,148632
US2.AAPL,60,20190124,230000,152.0400000,152.3100000,151.7400000,152.2250000,154639
US2.AAPL,60,20190125,000000,152.2200000,152.7400000,152.0900000,152.6900000,209978
US2.AAPL,60,20190125,180000,155.3000000,156.3500000,154.3200000,156.3300000,359316
US2.AAPL,60,20190125,190000,156.3100000,157.2500000,156.2800000,157.1800000,317993
US2.AAPL,60,20190125,200000,157.1800000,157.2500000,156.2400000,157.0000000,176418
US2.AAPL,60,20190125,210000,157.0300000,157.2200000,156.5700000,156.8600000,116150
US2.AAPL,60,20190125,220000,156.8500000,157.6200000,156.6300000,157.6200000,116707
US2.AAPL,60,20190125,230000,157.6400000,158.1300000,157.2800000,157.5900000,175670
US2.AAPL,60,20190126,000000,157.6100000,157.8600000,157.2700000,157.6900000,243925
US2.AAPL,60,20190128,180000,155.7800000,155.8800000,153.6700000,154.6000000,196819
US2.AAPL,60,20190128,190000,154.5750000,155.6500000,154.3300000,154.3500000,203398
US2.AAPL,60,20190128,200000,154.3500000,155.1600000,154.2500000,154.4500000,156755
US2.AAPL,60,20190128,210000,154.4600000,155.1300000,154.3700000,154.8500000,65364
US2.AAPL,60,20190128,220000,154.8400000,156.0200000,154.7800000,155.7600000,95849
US2.AAPL,60,20190128,230000,155.8400000,156.2700000,155.5400000,156.0400000,96862
US2.AAPL,60,20190129,000000,156.0400000,156.3200000,155.6800000,156.3200000,182903
US2.AAPL,60,20190129,180000,156.2500000,158.1200000,155.9400000,157.3300000,173881
US2.AAPL,60,20190129,190000,157.3300000,157.9800000,155.5300000,155.8500000,197961
