<TICKER>,<PER>,<DATE>,<TIME>,	<OPEN>,					<HIGH>,					<LOW>,					<CLOSE>,				<VOL>
US2.AAPL,60,20191129,200000,267.7300000,267.9800000,267.3400000,267.7200000,155438
US2.AAPL,60,20191129,210000,267.7100000,267.8200000,267.4100000,267.6100000,200439
US2.AAPL,60,20191202,180000,267.2300000,268.1900000,266.5600000,266.5600000,215272
US2.AAPL,60,20191202,190000,266.5850000,266.5850000,263.7600000,263.7700000,370004
US2.AAPL,60,20191202,200000,263.7900000,264.8600000,263.4600000,264.7000000,206657
US2.AAPL,60,20191202,210000,264.6800000,264.9600000,263.7800000,264.6700000,150553
US2.AAPL,60,20191202,220000,264.5700000,265.6100000,264.5700000,265.3500000,106351
US2.AAPL,60,20191202,230000,265.3700000,265.7400000,265.1600000,265.4500000,106368
US2.AAPL,60,20191203,000000,265.4800000,265.5400000,264.3700000,264.7600000,232847
US2.AAPL,60,20191203,180000,258.1600000,258.4700000,256.2900000,257.7700000,393667
US2.AAPL,60,20191203,190000,257.7600000,258.4300000,256.8100000,257.0500000,350370
US2.AAPL,60,20191203,200000,257.0300000,257.9400000,256.6300000,257.5800000,190363
US2.AAPL,60,20191203,210000,257.5700000,258.2700000,257.1600000,257.9700000,138601
US2.AAPL,60,20191203,220000,258.0000000,259.3100000,257.9200000,258.5900000,210980
US2.AAPL,60,20191203,230000,258.6000000,258.9500000,257.8800000,258.4600000,113639
US2.AAPL,60,20191204,000000,258.5000000,259.5300000,258.2800000,259.4600000,205616
US2.AAPL,60,20191204,180000,261.0300000,261.8600000,260.7000000,261.5100000,178658
US2.AAPL,60,20191204,190000,261.4800000,262.1300000,261.1400000,262.1300000,175609
US2.AAPL,60,20191204,200000,262.1400000,263.3100000,262.0700000,262.8300000,173663
US2.AAPL,60,20191204,210000,262.8200000,262.9500000,262.1400000,262.8200000,119559
US2.AAPL,60,20191204,220000,262.8200000,262.8300000,262.0800000,262.2900000,74206
US2.AAPL,60,20191204,230000,262.3000000,262.9700000,262.2100000,262.8500000,116724
US2.AAPL,60,20191205,000000,262.8400000,262.8700000,261.7500000,261.8100000,177400
US2.AAPL,60,20191205,180000,263.7900000,264.7300000,263.1100000,264.3200000,204863
US2.AAPL,60,20191205,190000,264.3000000,264.3550000,262.7500000,263.6900000,225078
US2.AAPL,60,20191205,200000,263.6800000,264.4600000,263.5100000,264.3800000,144114
US2.AAPL,60,20191205,210000,264.3500000,264.3900000,263.7700000,264.3600000,86815
US2.AAPL,60,20191205,220000,264.2900000,265.2900000,264.2300000,264.9500000,150299
US2.AAPL,60,20191205,230000,264.9400000,265.5700000,264.4500000,264.9500000,144392
US2.AAPL,60,20191206,000000,265.0200000,265.8900000,264.9600000,265.5000000,221133
US2.AAPL,60,20191206,180000,267.5200000,269.1900000,267.4800000,269.1100000,395866
US2.AAPL,60,20191206,190000,269.0800000,269.6300000,268.7800000,269.3900000,317648
US2.AAPL,60,20191206,200000,269.4000000,270.4700000,269.3100000,270.2000000,285837
US2.AAPL,60,20191206,210000,270.2000000,271.0000000,270.1800000,270.8000000,246092
US2.AAPL,60,20191206,220000,270.7900000,270.8400000,269.9600000,270.0700000,179692
US2.AAPL,60,20191206,230000,270.0800000,270.6600000,269.8900000,270.3900000,144369
US2.AAPL,60,20191207,000000,270.4000000,270.8000000,269.9800000,270.5800000,398319
US2.AAPL,60,20191209,180000,270.0200000,270.7800000,269.1500000,269.5900000,212930
US2.AAPL,60,20191209,190000,269.6100000,269.8800000,269.1600000,269.6000000,172012
US2.AAPL,60,20191209,200000,269.6000000,269.6000000,265.9400000,266.2300000,412144
US2.AAPL,60,20191209,210000,266.2200000,266.5000000,264.9100000,265.6800000,467576
US2.AAPL,60,20191209,220000,265.6900000,266.7500000,265.6000000,266.5900000,118133
US2.AAPL,60,20191210,000000,266.9100000,266.9100000,266.9100000,266.9100000,100
US2.AAPL,60,20191210,180000,268.5800000,268.5800000,265.8700000,266.8400000,165802
US2.AAPL,60,20191210,190000,266.8600000,269.9300000,266.8400000,269.8500000,348460
US2.AAPL,60,20191210,200000,269.8200000,270.0700000,268.8600000,269.1200000,228770
US2.AAPL,60,20191210,210000,269.0600000,269.2100000,268.5600000,269.0600000,175920
US2.AAPL,60,20191210,220000,269.0400000,269.6900000,268.9600000,269.0500000,123408
US2.AAPL,60,20191210,230000,269.0700000,269.5600000,269.0700000,269.4000000,115633
US2.AAPL,60,20191211,000000,269.3500000,269.7400000,267.7300000,268.2900000,255261
US2.AAPL,60,20191211,180000,268.7100000,270.7400000,268.6550000,270.6400000,229903
US2.AAPL,60,20191211,190000,270.6600000,271.0700000,269.3400000,269.4600000,270595
US2.AAPL,60,20191211,200000,269.4600000,270.4100000,269.1000000,270.1700000,111902
US2.AAPL,60,20191212,000000,270.7400000,270.7400000,270.7400000,270.7400000,100
US2.AAPL,60,20191214,000000,275.2500000,275.2500000,275.2500000,275.2500000,500
